text,category,priority
I would like to request a copy of the university's non-discrimination policy.,Administration,Low
the fire alarm in my building is making a quiet chirping sound every minute. it's not an emergency but it's annoying. thx.,Housing,Medium
I need to know the deadline for submitting my graduation application for the spring semester.,Academic,Low
PLEASE HURRY THE COPIER IS JAMMED AND I NEED MY HANDOUTS FOR MY PRESENTATION ON WEDNESDAY!!!!!!!,Library,Medium
academic course prerequisite clarification,Academic,Medium
i want to know if there are any quiet study areas on the 4th floor of the library.,Library,Low
I forgot to register for my mandatory prerequisite course and the system is now locked. I need to take it this semester to graduate on time.,Academic,High
I AM LITERALLY SCREAMING BECAUSE THE LIBRARY IS SO COLD AND I CANT STUDY PLEASE TURN THE HEAT UP NOW!!!!!!,Library,Low
I noticed that the library website is very slow today and I can't access any of the online research databases for my midterm project.,Library,Medium
I noticed that the library catalog search is very slow today. It is taking a long time to load any results from the catalog.,Library,Medium
library room booking info,Library,Low
What are the requirements for international students to get a work permit?,Admissions,Low
Tuition overcharge refund pending.,Finance,High
pls confirm office hours for admin support,Administration,Low
I would like to request a copy of the university's policy on student employment from the human resources office.,Administration,Low
i'm tryin to figure out if i can get a student id for my spouse since they use the gym sometimes. thx.,Administration,Low
I am stuck in the elevator in the Student Union building. Please send help as soon as possible.,Administration,High
clarification on course grading scheme,Academic,Medium
"The university's portal for study abroad applications is showing a 500 server error, and the deadline for the fall term is in 6 hours.",Admissions,High
The door handle to my dorm bathroom is loose.,Housing,Low
library printer not urgent but not working,Library,Medium
certificate request processing slower than expected,Administration,Medium
I'm having trouble with the online portal for my student degree progress report account.,Academic,Medium
I noticed that the library catalog search is very slow today. It is taking a long time to load any results.,Library,Medium
Enrollment verification needed.,Administration,Low
IT system showing incomplete account profile info,Technical,Medium
i'm having trouble with the university's vpn on my laptop it keeps saying connection failed even though my internet is fine.,Technical,Medium
I would like to book a tour of the campus for my parents next week.,Admissions,Low
The shower wall in my dorm bathroom is dirty.,Housing,Low
I am an international applicant and I'm having trouble with the document upload feature on the student application portal.,Admissions,Medium
the wifi in the math building is down and i have an online quiz that starts in 15 minutes. i am currently in the lobby.,Technical,High
I'm having trouble with the library's online portal for access to academic journals.,Library,Medium
finance office invoice processing delayed,Finance,Medium
PLEASE!!!!!! I NEED TO KNOW IF I CAN GET A REFUND FOR MY PARKING PASS I DON'T HAVE A CAR ANYMORE!!!!!!!,Finance,Low
The heater in my room makes a very loud whistling sound when it turns on. It works but it's really annoying at night.,Housing,Medium
There is a fire in the dorm's laundry room! Please send help immediately!!!,Housing,High
I need to talk to someone about my transcript evaluation. I think some of my community college credits were not counted correctly.,Admissions,Medium
how do i request a replacement id card because mine was snapped in half. i can come by on thursday.,Administration,Medium
idk how to check the hours for the student health center. is it open on saturdays? i think i have a cold.,Admissions,Low
The library's website is down and I need to access the online databases for my research paper that is due tomorrow. Please fix it!,Library,High
PLEASE HURRY THE PRINTER IS MAKING A WEIRD GRINDING NOISE AND I NEED TO PRINT MY THESIS RIGHT NOW!!!!!!!,Library,Medium
Are there any quiet study areas in the library that are open on Friday nights?,Library,Low
I AM PANICKING!! THE SYSTEM SAYS I HAVEN'T SUBMITTED MY DIPLOMA APPLICATION BUT THE DEADLINE IS TONIGHT!!,Administration,Medium
dorm lighting flickers occasionally,Housing,Medium
How can I request a physical copy of my diploma after graduation?,Academic,Low
MY ROOMMATE IS SO LOUD I AM LITERALLY AT MY BREAKING POINT!! THEY HAVE GUESTS OVER AT 2AM EVERY SINGLE NIGHT!! HELP ME NOW!!,Housing,Medium
"My acceptance letter has the wrong major listed, and the deadline to accept for the nursing program is tonight at midnight.",Admissions,High
can i get a list of all the clubs on campus?,Admissions,Low
dorm AC not cooling properly request,Housing,Medium
